test_name,matched_bar_9
test3381,1.1448776721954346
test2498,1.191253423690796
test346,1.0226023197174072
test3271,1.0422747135162354
test1001,1.1879572868347168
test147,1.1424647569656372
test2021,1.1547043323516846
test1945,1.1454365253448486
test115,1.0938787460327148
test2582,1.1508983373641968
test1386,1.2176294326782227
test1154,1.147133469581604
test1723,1.1155447959899902
test2252,1.1883800029754639
test858,1.0878463983535767
test3382,1.0468475818634033
test3199,1.0764966011047363
test2208,1.0396898984909058
test2151,1.043752670288086
test2152,1.1171542406082153
test56,0.9899160265922546
test1000,1.1649408340454102
test2568,1.0778870582580566
test661,1.1525272130966187
test440,1.0924479961395264
test1632,1.0905466079711914
test1845,0.9985862970352173
test1582,1.038438320159912
test2452,1.0799601078033447
test3429,0.9394918084144592
test530,1.0912258625030518
test2652,1.1100211143493652
test807,0.9735108613967896
test719,1.0613231658935547
test2586,1.2278087139129639
test2556,1.1362576484680176
test1796,1.0964747667312622
test3304,1.0836243629455566
test767,1.1716785430908203
test1775,0.9544457793235779
test1164,1.0263245105743408
test84,1.1107721328735352
test344,1.0893234014511108
test1736,1.076783537864685
test2739,1.1986924409866333
test1985,1.0612635612487793
test2165,1.114957332611084
test2343,1.1213452816009521
test803,1.08759343624115
test1194,1.1877872943878174
test465,1.089479923248291
test1147,0.8462673425674438
test984,1.0944164991378784
test1372,0.9726672768592834
test1392,1.048719882965088
test1695,1.0858135223388672
test579,1.1981925964355469
test1496,1.181259036064148
test26,1.155421257019043
test1930,1.0696710348129272
test3005,0.9616692066192627
test179,1.0629565715789795
test415,1.1725430488586426
test1670,1.2661185264587402
test2075,1.0261950492858887
test3010,1.095245599746704
test47,1.0454591512680054
test1358,0.9738593101501465
test3123,1.0445704460144043
test3008,1.0172823667526245
test872,1.130075454711914
test3201,0.944040060043335
test1011,1.0758264064788818
test368,1.1498297452926636
test1505,1.1786751747131348
test2886,1.0176459550857544
test1324,1.0056945085525513
test3323,1.059382677078247
test3,1.134211778640747
test2674,0.9095737934112549
test326,1.0695830583572388
test2358,1.0636482238769531
test276,1.1707074642181396
test1043,1.2266952991485596
test2195,1.0588858127593994
test2810,1.035306453704834
test763,1.1700652837753296
test2627,1.2123348712921143
test2817,0.9507089853286743
test1257,1.0326192378997803
test2537,1.1110490560531616
test1635,1.1277098655700684
test114,1.0871275663375854
test1758,1.0675835609436035
test953,1.1791868209838867
test1400,1.0986908674240112
test71,1.2541921138763428
test118,1.109358549118042
test3358,1.0393383502960205
test1642,1.1699645519256592
test2325,1.121651530265808
test1541,1.1294384002685547
test1058,1.1054811477661133
test559,1.102158784866333
test1607,1.1354358196258545
test2332,1.0879402160644531
test376,1.0621446371078491
test1747,1.0772558450698853
test2350,1.1193499565124512
test3398,0.9433432817459106
test3135,1.0403350591659546
test3417,1.1138218641281128
test2477,1.1771818399429321
test1757,1.295694351196289
test2617,1.128873586654663
test1682,1.1228845119476318
test796,1.0167694091796875
test3392,1.0161044597625732
test2223,1.0415011644363403
test1938,1.140183687210083
test3211,1.0052602291107178
test528,1.1188342571258545
test2926,1.065441370010376
test1506,0.8886433839797974
test364,0.9262466430664062
test2754,1.1112726926803589
test2514,0.9523880481719971
test3423,0.9937605857849121
test463,1.083641767501831
test1834,1.0386652946472168
test1911,1.0676605701446533
test1254,1.1477258205413818
test2542,1.0287141799926758
test1339,1.0715620517730713
test1493,1.1423354148864746
